"id","name","name","name","original_release_date","image"
9589,"Akalabeth: World of Doom","California Pacific Computer","Adventure","1979-06-05","http://media.giantbomb.com/uploads/1/15687/608559-aklabeth_1__thumb.jpg"
730,"Star Raiders","Atari","Action","1979-06-15","http://media.giantbomb.com/uploads/7/73888/1480724-starraiders_au_front_thumb.jpg"
17852,"The Oregon Trail","MECC","Strategy","1980-01-01","http://media.giantbomb.com/uploads/1/15687/608886-564877_29742_front_1__thumb.jpg"
23505,"Othello","Atari","Strategy","1980-01-01","http://media.giantbomb.com/uploads/1/15562/588438-b_othello_color_front_thumb.jpg"
2744,"Mystery House","Sierra Entertainment, Inc.","Adventure","1980-05-05","http://media.giantbomb.com/uploads/1/15687/1347814-mystery_house_005_a_sierraventure_large_folder_thumb.jpg"
7624,"Pac-Man","Namco Bandai Games Inc.","Puzzle","1980-05-22","http://media.giantbomb.com/uploads/7/73888/1478896-pacman_us_front_thumb.jpg"
4062,"Missile Command","Code Monkeys Ltd., The","Shoot 'Em Up","1980-06-23","http://media.giantbomb.com/uploads/7/73888/1478831-missile_command_front_thumb.jpg"
23243,"Boxing","Activision","Boxing","1980-07-01","http://media.giantbomb.com/uploads/1/15562/543826-b_boxing_original_front_thumb.jpg"
5551,"Ultima","Origin Systems","Adventure","1980-09-02","http://media.giantbomb.com/uploads/0/590/284065-ultima1_cover_thumb.jpg"
16408,"Ultima I: The First Age of Darkness","Origin Systems","Adventure","1980-09-02","http://media.giantbomb.com/uploads/1/15687/1347896-ultima_1_box_1_a_thumb.jpg"
18684,"Wizard of Wor","Midway Games","Action","1980-12-31","http://media.giantbomb.com/uploads/0/6518/434172-250px_wizard_of_wor_flyer_thumb.jpg"
15784,"Galaga","Namco Bandai Games Inc.","Shoot 'Em Up","1981-01-01","http://media.giantbomb.com/uploads/8/87209/1331094-galaga_box_thumb.png"
311,"Donkey Kong","Nintendo R&D1","Platformer","1981-06-30","http://media.giantbomb.com/uploads/7/73888/1462809-donkeykong_us_front_thumb.jpg"
1169,"Lost Luggage","Apollo, Inc.","Action","1982-01-01","http://media.giantbomb.com/uploads/0/5278/427063-lost_luggage_thumb.jpg"
7401,"Bachelorette Party/Burning Desire","PlayAround","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/634846-b_bachelorettepartyburningdesire_front_thumb.jpg"
9389,"Bachelor Party/Gigolo","PlayAround","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/635067-b_bachelorpartygigolo_back_thumb.jpg"
11689,"Joust","Williams Electronic Games, Inc.","Action","1982-01-01","http://media.giantbomb.com/uploads/7/73888/1475766-joust_front_thumb.jpg"
12304,"Communist Mutants From Space","Starpath Corporation","Action","1982-01-01","http://media.giantbomb.com/uploads/3/34626/1190047-0communist_thumb.jpg"
12493,"Beany Bopper","Sirius Software, Inc.","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/644898-b_beanybopper_front_thumb.jpg"
12822,"Jungle Fever/Knight on the Town","PlayAround","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/634968-b_junglefeverknightonthetown_back_thumb.jpg"
13273,"Beat 'Em & Eat 'Em/Lady in Wading","PlayAround","Action","1982-01-01","http://media.giantbomb.com/uploads/1/15562/635009-b_beatemeatemladyinwading_back_thumb.jpg"
